"treeID","lat","lon","y","x","code8","genus","species","crown","dbh","elev","slope","swale","code2","crown_2008","crown_2016","dbh_2008","dbh_2012","dbh_2016","scientific"
1466,40.6645130235068,-77.903666229118,147820.206099,587006.373639,"pinusStrobus","Pinus","strobus",3,"28.4","281.24612000000002","S","SW","PIST","I/CD","I",27.686,"28.4","28.4","Pinus strobus"
1467,40.664475170262,-77.9037033341145,147816.008201,587003.228822,"quercusAlba","Quercus","alba",1,"40.1","282.11740200000003","S","SW","QUAL","D","D",38.1,"39.299999999999997","40.1","Quercus alba"
1468,40.6644139934278,-77.9036914276422,147809.213157,587004.22378,"quercusPrinus","Quercus","prinus",2,"38.4","283.47432400000002","S","SW","QUPR","CD","CD",36.83,"37.6","38.4","Quercus prinus"
1469,40.6646071308452,-77.9034208582447,147830.620037,587027.139711,"quercusRubra","Quercus","rubra",NA,"DEAD","286.94410399999998",NA,NA,"QURU","CD","Dead",27.432,"DEAD","DEAD","Quercus rubra"
1470,40.6645701538525,-77.9034989739157,147826.525459,587020.527327,"quercusAlba","Quercus","alba",2,"25.9","284.99914200000001","S","P","QUAL","CD","CD",25.908,"25.9","25.9","Quercus alba"
1471,40.6643679237639,-77.903690538566,147804.097288,587004.290055,"quercusPrinus","Quercus","prinus",2,"37.9","285.44696800000003","S","SW","QUPR","CD","CD",37.338,"39.700000000000003","37.9","Quercus prinus"
1472,40.6643815537694,-77.9036502368391,147805.604882,587007.700504,"quercusRubra","Quercus","rubra",2,"43.6","284.845887","S","SW","QURU","D","CD",41.656,"42.9","43.6","Quercus rubra"
1473,40.6643237045714,-77.9036436038049,147799.180127,587008.250201,"quercusPrinus","Quercus","prinus",2,"38.200000000000003","287.54382700000002","S","SW","QUPR","CD","CD",36.576,"39.5","38.200000000000003","Quercus prinus"
1474,40.6643142810422,-77.903609013932,147798.128617,587011.173218,"quercusPrinus","Quercus","prinus",2,"38.1","288.10307499999999","S","SW","QUPR","CD","CD",36.322,"37.200000000000003","38.1","Quercus prinus"
1475,40.6642713640338,-77.9036068862199,147793.362648,587011.344843,"quercusPrinus","Quercus","prinus",2,"43.1","290.526816","S","SW","QUPR","CD","CD",41.148,"43.4","43.1","Quercus prinus"
1476,40.6642654179378,-77.903597934787,147792.701056,587012.100607,"quercusPrinus","Quercus","prinus",2,"39.700000000000003","290.55894499999999","S","SW","QUPR","CD","CD",39.116,"39.799999999999997","39.700000000000003","Quercus prinus"
1477,40.6642506050348,-77.9036275234571,147791.060531,587009.595796,"quercusPrinus","Quercus","prinus",2,"37.799999999999997","290.88809700000002","S","SW","QUPR","CD","CD",36.068,"37.200000000000003","37.799999999999997","Quercus prinus"
1478,40.6642765949028,-77.9035269884373,147793.931754,587018.101824,"quercusPrinus","Quercus","prinus",2,"33.799999999999997","290.704183","S","SW","QUPR","CD","CD",30.226,"30.6","33.799999999999997","Quercus prinus"
1479,40.6642856358405,-77.9035044929992,147794.932385,587020.005731,"quercusRubra","Quercus","rubra",1,"51.4","290.12154600000002","S","SW","QURU","D","D",45.466,"48","51.4","Quercus rubra"
1480,40.664311715407,-77.9034964909399,147797.827176,587020.6874,"quercusRubra","Quercus","rubra",2,"43.2","289.00940900000001","S","SW","QURU","CD","CD",41.402,"42.9","43.2","Quercus rubra"
1481,40.6642690257314,-77.9034183831425,147793.075287,587027.283775,"quercusPrinus","Quercus","prinus",2,"32.5","291.69324699999999","S","SW","QUPR","CD","CD",32.004,"32.799999999999997","32.5","Quercus prinus"
1482,40.6642671570497,-77.903409063499,147792.866413,587028.071462,"quercusRubra","Quercus","rubra",2,"49","291.714361","S","SW","QURU","CD","CD",46.736,"48.4","49","Quercus rubra"
1483,40.6642933886461,-77.9033529424293,147795.77102,587032.821988,"quercusPrinus","Quercus","prinus",2,"25","291.31882400000001","S","SW","QUPR","CD","CD",24.638,"24.7","25","Quercus prinus"
1484,40.6643254117162,-77.9032841098803,147799.31687,587038.648479,"pinusStrobus","Pinus","strobus",3,"31.4","292.33986099999998","S","P","PIST","I/CD","I",29.972,"30.9","31.4","Pinus strobus"
1485,40.6643395382489,-77.9032377506005,147800.878727,587042.571231,"quercusPrinus","Quercus","prinus",1,"51.7","293.27063399999997","S","P","QUPR","D","D",48.26,"50.8","51.7","Quercus prinus"
1486,40.6643071288593,-77.9032135539836,147797.276324,587044.610995,"quercusPrinus","Quercus","prinus",2,"27.3","294.17505499999999","S","P","QUPR","CD","CD",25.654,"27","27.3","Quercus prinus"
1487,40.664401156346,-77.903304070756,147807.730751,587036.975236,"quercusRubra","Quercus","rubra",1,"54.9","291.00405899999998","S","P","QURU","D","D",51.816,"53.2","54.9","Quercus rubra"
1488,40.6644248217313,-77.9033274769726,147810.362075,587035.000627,"quercusPrinus","Quercus","prinus",2,"30.6","290.36234300000001","S","P","QUPR","CD","CD",29.718,"31","30.6","Quercus prinus"
1489,40.6643005290544,-77.9032636655796,147796.550811,587040.372405,"quercusPrinus","Quercus","prinus",2,"29.8","293.18128999999999","S","P","QUPR","CD","CD",29.464,"30","29.8","Quercus prinus"
1490,40.6642675257052,-77.9032808460727,147792.888524,587038.913302,"quercusPrinus","Quercus","prinus",2,"29.9","293.45802099999997","S","P","QUPR","CD","CD",27.94,"28.9","29.9","Quercus prinus"
1491,40.6642457046401,-77.9033104010141,147790.469774,587036.409998,"quercusAlba","Quercus","alba",2,"31.8","293.464201","S","SW","QUAL","CD","CD",29.972,"30.9","31.8","Quercus alba"
1492,40.6642137099119,-77.9032856329632,147786.913331,587038.498161,"quercusPrinus","Quercus","prinus",NA,"DEAD","294.87780099999998","S","P","QUPR","CD","Dead",27.686,"28.7","DEAD","Quercus prinus"
1493,40.6641928774771,-77.9032954305086,147784.601462,587037.665687,"quercusPrinus","Quercus","prinus",2,"36.6","295.45802700000002","S","P","QUPR","CD","CD",34.544,"35.572000000000003","36.6","Quercus prinus"
1494,40.6641976631525,-77.9032456385695,147785.125573,587041.876905,"quercusPrinus","Quercus","prinus",2,"36.200000000000003","295.796021","S","P","QUPR","CD","CD",34.798,"35.6","36.200000000000003","Quercus prinus"
1495,40.6642086954255,-77.9032233616767,147786.347367,587043.762715,"quercusPrinus","Quercus","prinus",2,"33.200000000000003","295.70131199999997","S","P","QUPR","CD","CD",31.75,"32.9","33.200000000000003","Quercus prinus"
1496,40.6641936628328,-77.9033959721322,147784.703433,587029.164262,"quercusRubra","Quercus","rubra",1,"53.9","294.407803","S","SW","QURU","D","D",50.8,"53.5","53.9","Quercus rubra"
1497,40.6641249844962,-77.9034241949142,147777.081294,587026.764557,"quercusPrinus","Quercus","prinus",2,"31.4","296.239891","S","SW","QUPR","CD","CD",31.75,"31.6","31.4","Quercus prinus"
1498,40.6641497157014,-77.9034399309378,147779.829846,587025.438724,"pinusStrobus","Pinus","strobus",2,"38.1","295.72754200000003","S","SW","PIST","CD","CD",35.306,"36.299999999999997","38.1","Pinus strobus"
1499,40.6642229750658,-77.9034453000908,147787.965613,587024.998855,"quercusPrinus","Quercus","prinus",2,"30","292.89113900000001","S","SW","QUPR","CD","CD",28.956,"29.7","30","Quercus prinus"
1500,40.6641701020189,-77.9034877897028,147782.100647,587021.395825,"quercusPrinus","Quercus","prinus",2,"28.2","294.40359100000001","S","SW","QUPR","CD","CD",28.194,"28.1","28.2","Quercus prinus"
1501,40.6641659971753,-77.9035296397889,147781.650982,587017.856281,"quercusPrinus","Quercus","prinus",2,"36.6","294.46559999999999","S","SW","QUPR","CD","CD",34.798,"36.299999999999997","36.6","Quercus prinus"
1502,40.6641844885032,-77.9035698765636,147783.71024,587014.457518,"quercusPrinus","Quercus","prinus",2,"36.799999999999997","293.622906","S","SW","QUPR","CD","CD",35.56,"36.299999999999997","36.799999999999997","Quercus prinus"
1503,40.664172533491,-77.9035665965764,147782.382231,587014.732558,"quercusPrinus","Quercus","prinus",2,"32.1","294.456075","S","SW","QUPR","CD","CD",31.242,"32","32.1","Quercus prinus"
1504,40.6641463968902,-77.9035907466512,147779.483482,587012.685433,"quercusPrinus","Quercus","prinus",3,"22.1","295.48045300000001","S","SW","QUPR","CD","I",21.59,"21.7","22.1","Quercus prinus"
1505,40.6641260242573,-77.9035524246979,147777.215598,587015.921921,"quercusPrinus","Quercus","prinus",2,"35.799999999999997","295.99152700000002","S","SW","QUPR","CD","CD",34.544,"35.5","35.799999999999997","Quercus prinus"
1506,40.6641185701312,-77.903499094534,147776.380026,587020.429967,"quercusPrinus","Quercus","prinus",2,"31.5","296.60017800000003","S","SW","QUPR","CD","CD",29.464,"30.9","31.5","Quercus prinus"
1507,40.6640957698879,-77.9035148880467,147773.850528,587019.0901,"quercusPrinus","Quercus","prinus",2,"39.799999999999997","297.26531899999998","S","SW","QUPR","CD","CD",38.1,"39.700000000000003","39.799999999999997","Quercus prinus"
1508,40.6640859813395,-77.9036838055476,147772.788416,587004.804899,"pinusVirginia","Pinus","virginiana",NA,"DEAD","296.86854199999999",NA,NA,"PIVI","D","Dead",39.624,"DEAD","DEAD","Pinus virginiana"
1509,40.6640701315694,-77.903720411718,147771.033789,587001.706494,"quercusPrinus","Quercus","prinus",2,"34.200000000000003","296.97733599999998","S","SW","QUPR","CD","CD",32.766,"34.799999999999997","34.200000000000003","Quercus prinus"
1510,40.6640718489524,-77.9037966884414,147771.235723,586995.257024,"quercusRubra","Quercus","rubra",1,"31","296.83033799999998","S","SW","QURU","D","D",28.448,"29.8","31","Quercus rubra"
1511,40.6640462428796,-77.9038603279607,147768.401708,586989.870844,"quercusRubra","Quercus","rubra",2,"34.700000000000003","296.98729200000002","S","SW","QURU","CD","CD",32.258,"33.700000000000003","34.700000000000003","Quercus rubra"
1512,40.6640777019048,-77.9039002358497,147771.900909,586986.502402,"pinusVirginia","Pinus","virginiana",1,"34.700000000000003","295.948735","S","SW","PIVI","D","D",34.798,"34.700000000000003","34.700000000000003","Pinus virginiana"
1513,40.6641235836112,-77.9039131471481,147776.997678,586985.419529,"quercusPrinus","Quercus","prinus",2,"26.2","294.30778600000002","S","SW","QUPR","CD","CD",26.162,"26.1","26.2","Quercus prinus"
1514,40.6641338789611,-77.9039396700363,147778.144819,586983.178803,"quercusPrinus","Quercus","prinus",2,"32.1","293.59196200000002","S","SW","QUPR","CD","CD",30.48,"31.3","32.1","Quercus prinus"
1515,40.6641490707564,-77.9039178940836,147779.82856,586985.023071,"pinusVirginia","Pinus","virginiana",1,"33","293.408007","S","SW","PIVI","D","D",32.004,"32.6","33","Pinus virginiana"
1516,40.6641590333954,-77.9039213305149,147780.935353,586984.734422,"quercusPrinus","Quercus","prinus",2,"29.4","293.40388300000001","S","SW","QUPR","CD","CD",27.94,"28.7","29.4","Quercus prinus"
1517,40.6641797790654,-77.9038847720307,147783.233638,586987.829742,"quercusPrinus","Quercus","prinus",1,"43.7","292.63392499999998","S","SW","QUPR","D","D",41.148,"43.7","43.7","Quercus prinus"
1518,40.6641907964558,-77.9038438293273,147784.451016,586991.293898,"quercusPrinus","Quercus","prinus",2,"33.4","292.60445299999998","S","SW","QUPR","CD","CD",33.02,"33.5","33.4","Quercus prinus"
1519,40.6641838655442,-77.9038186608273,147783.677676,586993.42075,"pinusStrobus","Pinus","strobus",2,"24.2","292.65905500000002","S","SW","PIST","CD","CD",22.352,"23.4","24.2","Pinus strobus"
1520,40.6641901551827,-77.9037453437735,147784.365304,586999.621494,"quercusRubra","Quercus","rubra",2,"36.1","293.22648299999997","S","SW","QURU","D","CD",34.29,"35.700000000000003","36.1","Quercus rubra"
1521,40.6641811325034,-77.9036818103248,147783.354043,587004.991998,"quercusPrinus","Quercus","prinus",2,"30.7","293.50159600000001","S","SW","QUPR","CD","CD",31.242,"31.4","30.7","Quercus prinus"
1522,40.6641499348604,-77.9037407067053,147779.898415,587000.005819,"quercusPrinus","Quercus","prinus",2,"32.4","294.25495699999999","S","SW","QUPR","CD","CD",31.496,"39.1","32.4","Quercus prinus"
1523,40.6641196215798,-77.9037625826224,147776.535542,586998.150178,"quercusPrinus","Quercus","prinus",2,"31.7","295.70024999999998","S","SW","QUPR","CD","CD",27.94,"28.7","31.7","Quercus prinus"
1524,40.6642284522991,-77.9037393532469,147788.617069,587000.135443,"pinusStrobus","Pinus","strobus",2,"32.799999999999997","291.17453","S","SW","PIST","CD","CD",28.956,"31.1","32.799999999999997","Pinus strobus"
