"","treeID","gridID","x","y","dbh","code2","cd2_gss","l/d","nt_2021","notes","scintfc","genus","species","code8","geometry"
"98",101,105,584183.749,148781.5803,12.954,"ACRU",NA,"D",NA,"Dead","Acer rubrum","Acer","rubrum","acerRubrum",c(584183.749, 148781.5803)
"99",102,105,584183.1666,148784.8358,28.702,"QUCO",NA,"L",NA,NA,"Quercus coccinea","Quercus","coccinea","quercusCoccinea",c(584183.1666, 148784.8358)
"100",104,105,584188.9096,148783.8307,29.718,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584188.9096, 148783.8307)
"101",105,105,584188.2438,148787.1385,15.748,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584188.2438, 148787.1385)
"102",106,106,584218.673,148791.1027,12.446,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584218.673, 148791.1027)
"103",107,106,584220.7073,148785.916,11.938,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584220.7073, 148785.916)
"104",108,106,584226.7579,148795.2134,31.242,"QUMO",NA,"L",NA,"Outside plot <3ft","Quercus montana","Quercus","montana","quercusMontana",c(584226.7579, 148795.2134)
"105",109,106,584222.9707,148787.4518,10.16,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584222.9707, 148787.4518)
"106",110,106,584228.0967,148792.9785,14.732,"COFL",NA,"L",NA,"LEAN","Cornus florida","Cornus","florida","cornusFlorida",c(584228.0967, 148792.9785)
"107",111,106,584223.9836,148786.8053,12.446,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584223.9836, 148786.8053)
"108",112,106,584228.148,148787.6807,14.986,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584228.148, 148787.6807)
"109",113,106,584229.7339,148785.8892,10.922,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584229.7339, 148785.8892)
"110",114,106,584226.0763,148783.4602,10.922,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584226.0763, 148783.4602)
"111",115,106,584229.743,148782.9742,13.97,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584229.743, 148782.9742)
"112",116,106,584231.9138,148772.9677,40.64,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584231.9138, 148772.9677)
"113",117,106,584225.094,148774.6202,49.022,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584225.094, 148774.6202)
"114",118,106,584223.0667,148776.1886,52.832,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584223.0667, 148776.1886)
"115",119,106,584223.2236,148773.7447,22.86,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584223.2236, 148773.7447)
"116",120,106,584225.1652,148768.7631,23.876,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584225.1652, 148768.7631)
"117",121,106,584219.0016,148773.7377,33.528,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584219.0016, 148773.7377)
"118",122,106,584212.5837,148770.2631,39.624,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584212.5837, 148770.2631)
"119",123,106,584209.3336,148771.8893,24.384,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584209.3336, 148771.8893)
"120",124,106,584210.9701,148775.1947,53.594,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584210.9701, 148775.1947)
"121",125,106,584212.71,148777.5988,31.496,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584212.71, 148777.5988)
"122",126,106,584211.9067,148783.0206,48.006,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584211.9067, 148783.0206)
"123",127,106,584206.0873,148789.841,24.384,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584206.0873, 148789.841)
"124",128,106,584210.4344,148789.4855,30.48,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584210.4344, 148789.4855)
"125",129,106,584216.0708,148788.5193,36.576,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584216.0708, 148788.5193)
"126",130,107,584199.4367,148761.5321,10.414,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584199.4367, 148761.5321)
"127",131,107,584202.1421,148764.4289,75.692,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584202.1421, 148764.4289)
"128",132,107,584204.2337,148762.6018,18.034,"CASP","CAOV","L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584204.2337, 148762.6018)
"129",133,107,584204.3584,148753.4107,83.82,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584204.3584, 148753.4107)
"130",134,107,584200.0076,148751.8301,25.908,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584200.0076, 148751.8301)
